Scan Order,Plate Order,Layer Thickness,Number of Layers
1,1,0.03,50
2,2,0.03,51
3,3,0.03,52
4,4,0.03,53
5,5,0.03,54
6,6,0.03,55
7,7,0.03,56
8,8,0.03,57
9,9,0.03,58
10,10,0.03,59
11,11,0.03,60
12,12,0.03,50
13,13,0.03,55
14,14,0.03,60
15,15,0.03,65
16,16,0.03,70
17,17,0.03,75
18,18,0.03,80
19,19,0.03,85
20,20,0.03,90
21,21,0.03,95
22,22,0.03,100
23,23,0.03,50
24,24,0.03,60
25,25,0.03,70
26,26,0.03,80
27,27,0.03,90
28,28,0.03,100
29,29,0.03,110
30,30,0.03,120
31,31,0.03,130
32,32,0.03,140
33,33,0.03,150
34,34,0.03,50
35,35,0.03,65
36,36,0.03,80
37,37,0.03,95
38,38,0.03,110
39,39,0.03,125
40,40,0.03,140
41,41,0.03,155
42,42,0.03,170
43,43,0.03,185
44,44,0.03,200
45,45,0.03,50
46,46,0.03,80
47,47,0.03,110
48,48,0.03,140
49,49,0.03,170
50,50,0.03,200
51,51,0.03,230
52,52,0.03,260
53,53,0.03,290
54,54,0.03,320
55,55,0.03,350
