Measurement order,Plate order,Scan order,Layer thickness,Number of layers,Replicate
1,1,1,0.03,15,Original
2,2,2,0.03,30,Original
3,3,3,0.03,45,Original
4,4,4,0.03,60,Original
5,5,5,0.03,100,Original
6,6,6,0.03,15,Original
7,7,7,0.03,30,Original
8,8,8,0.03,45,Original
9,9,9,0.03,60,Original
10,10,10,0.03,100,Original
11,11,11,0.03,15,Original
12,12,12,0.03,30,Original
13,13,13,0.03,45,Original
14,14,14,0.03,60,Original
15,15,15,0.03,100,Original
1,14,15,0.03,60,Randomized_1
2,9,13,0.03,60,Randomized_1
3,13,2,0.03,45,Randomized_1
4,8,7,0.03,45,Randomized_1
5,7,9,0.03,30,Randomized_1
6,5,6,0.03,100,Randomized_1
7,15,1,0.03,100,Randomized_1
8,12,8,0.03,30,Randomized_1
9,10,14,0.03,100,Randomized_1
10,6,4,0.03,15,Randomized_1
11,11,10,0.03,15,Randomized_1
12,3,11,0.03,45,Randomized_1
13,1,5,0.03,15,Randomized_1
14,2,12,0.03,30,Randomized_1
15,4,3,0.03,60,Randomized_1
1,3,8,0.03,45,Randomized_2
2,2,2,0.03,30,Randomized_2
3,14,3,0.03,60,Randomized_2
4,11,7,0.03,15,Randomized_2
5,6,9,0.03,15,Randomized_2
6,4,12,0.03,60,Randomized_2
7,15,14,0.03,100,Randomized_2
8,5,1,0.03,100,Randomized_2
9,8,11,0.03,45,Randomized_2
10,7,13,0.03,30,Randomized_2
11,9,5,0.03,60,Randomized_2
12,12,15,0.03,30,Randomized_2
13,1,4,0.03,15,Randomized_2
14,10,10,0.03,100,Randomized_2
15,13,6,0.03,45,Randomized_2
